K, T, v, Kv, sigmav, rho12, ClosedForm
90, 1.0 / 12.0, 0.01, 1.5, 0.15, 0.1, 0.0001
90, 1.0 / 4.0, 0.01, 1.5, 0.15, 0.1, 0.0335
90, 1.0 / 2.0, 0.01, 1.5, 0.15, 0.1, 0.1965
100, 1.0 / 12.0, 0.01, 1.5, 0.15, 0.1, 1.0160
100, 1.0 / 4.0, 0.01, 1.5, 0.15, 0.1, 1.6492
100, 1.0 / 2.0, 0.01, 1.5, 0.15, 0.1, 2.2254
110, 1.0 / 12.0, 0.01, 1.5, 0.15, 0.1, 9.6358
110, 1.0 / 4.0, 0.01, 1.5, 0.15, 0.1, 9.0701
110, 1.0 / 2.0, 0.01, 1.5, 0.15, 0.1, 8.6410
90, 1.0 / 12.0, 0.04, 0.75, 0.3, 0.1, 0.0603
90, 1.0 / 4.0, 0.04, 0.75, 0.3, 0.1, 0.5205
90, 1.0 / 2.0, 0.04, 0.75, 0.3, 0.1, 1.1439
100, 1.0 / 12.0, 0.04, 0.75, 0.3, 0.1, 2.1009
100, 1.0 / 4.0, 0.04, 0.75, 0.3, 0.1, 3.3156
100, 1.0 / 2.0, 0.04, 0.75, 0.3, 0.1, 4.1999
110, 1.0 / 12.0, 0.04, 0.75, 0.3, 0.1, 9.7904
110, 1.0 / 4.0, 0.04, 0.75, 0.3, 0.1, 10.0156
110, 1.0 / 2.0, 0.04, 0.75, 0.3, 0.1, 10.3200
90, 1.0 / 12.0, 0.04, 1.5, 0.3, 0.1, 0.0577
90, 1.0 / 4.0, 0.04, 1.5, 0.3, 0.1, 0.4849
90, 1.0 / 2.0, 0.04, 1.5, 0.3, 0.1, 1.0383
100, 1.0 / 12.0, 0.04, 1.5, 0.3, 0.1, 2.0844
100, 1.0 / 4.0, 0.04, 1.5, 0.3, 0.1, 3.2441
100, 1.0 / 2.0, 0.04, 1.5, 0.3, 0.1, 4.0467
110, 1.0 / 12.0, 0.04, 1.5, 0.3, 0.1, 9.7850
110, 1.0 / 4.0, 0.04, 1.5, 0.3, 0.1, 9.9594
110, 1.0 / 2.0, 0.04, 1.5, 0.3, 0.1, 10.1657
90, 1.0 / 12.0, 0.04, 1.5, 0.15, -0.5, 0.0767
90, 1.0 / 4.0, 0.04, 1.5, 0.15, -0.5, 0.5903
90, 1.0 / 2.0, 0.04, 1.5, 0.15, -0.5, 1.2490
100, 1.0 / 12.0, 0.04, 1.5, 0.15, -0.5, 2.0998
100, 1.0 / 4.0, 0.04, 1.5, 0.15, -0.5, 3.3147
100, 1.0 / 2.0, 0.04, 1.5, 0.15, -0.5, 4.2085
110, 1.0 / 12.0, 0.04, 1.5, 0.15, -0.5, 9.7405
110, 1.0 / 4.0, 0.04, 1.5, 0.15, -0.5, 9.8073
110, 1.0 / 2.0, 0.04, 1.5, 0.15, -0.5, 9.9877
